ID	stim_file	start_vol	end_vol
sub-control017	20_Trick20_short_combined_small.mp4	405	417
sub-control017	21_S15_combined_small.mp4	883	898
sub-control017	22_K18_combined_small.mp4	193	203
sub-control017	23_K10_combined_small.mp4	378	389
sub-control017	24_Trick28_combined_small.mp4	915	935
sub-control017	25_S25_combined_small.mp4	715	741
sub-control017	26_S30_combined_small.mp4	558	570
sub-control017	27_S31_combined_small.mp4	858	868
sub-control017	28_K24_combined_small.mp4	618	629
sub-control017	29_H36_combined_small.mp4	250	267
sub-control017	30_H15_combined_small.mp4	283	298
sub-control017	31_K3_combined_small.mp4	315	327
sub-control017	32_K16_short_combined_small.mp4	433	448
sub-control017	33_S21_combined_small.mp4	107	117
sub-control017	34_Trick38_combined_small.mp4	950	963
sub-control017	35_Trick32_long_combined_small.mp4	35	58
sub-control017	36_Trick7_short_combined_small.mp4	1037	1047
sub-control019	01_H35_combined_small.mp4	571	589
sub-control019	02_H10_combined_small.mp4	868	883
sub-control019	03_H16_combined_small.mp4	452	468
sub-control019	04_S9_combined_small.mp4	221	236
sub-control019	05_K4_combined_small.mp4	396	411
sub-control019	06_H7_combined_small.mp4	1024	1040
sub-control019	07_K2_combined_small.mp4	959	972
sub-control019	08_S12_combined_small.mp4	989	1009
sub-control019	09_S11_combined_small.mp4	544	555
sub-control019	10_S27_combined_small.mp4	71	86
sub-control019	11_K21_long_combined_small.mp4	360	381
sub-control019	12_H37_combined_small.mp4	154	168
sub-control019	13_Trick6_short_combined_small.mp4	926	944
sub-control019	14_K19_long_combined_small.mp4	606	621
sub-control019	15_S18_combined_small.mp4	39	54
sub-control019	16_H19_combined_small.mp4	842	853
sub-control019	17_Trick37_combined_small.mp4	183	205
sub-control019	18_Trick4_combined_small.mp4	702	725
sub-control019	19_H17_combined_small.mp4	286	309
sub-control019	20_Trick20_short_combined_small.mp4	1112	1124
sub-control019	21_S15_combined_small.mp4	326	341
sub-control019	22_K18_combined_small.mp4	676	686
sub-control019	23_K10_combined_small.mp4	740	751
sub-control019	24_Trick28_combined_small.mp4	4	24
sub-control019	25_S25_combined_small.mp4	769	795
sub-control019	26_S30_combined_small.mp4	1085	1097
sub-control019	27_S31_combined_small.mp4	104	114
sub-control019	28_K24_combined_small.mp4	1055	1066
sub-control019	29_H36_combined_small.mp4	253	270
sub-control019	30_H15_combined_small.mp4	514	529
sub-control019	31_K3_combined_small.mp4	898	910
sub-control019	32_K16_short_combined_small.mp4	812	827
sub-control019	33_S21_combined_small.mp4	129	139
sub-control019	34_Trick38_combined_small.mp4	486	499
sub-control019	35_Trick32_long_combined_small.mp4	636	659
sub-control019	36_Trick7_short_combined_small.mp4	427	437
sub-control021	01_H35_combined_small.mp4	42	60
sub-control021	02_H10_combined_small.mp4	1008	1023
sub-control021	03_H16_combined_small.mp4	1109	1125
sub-control021	04_S9_combined_small.mp4	695	710
sub-control021	05_K4_combined_small.mp4	812	827
sub-control021	06_H7_combined_small.mp4	484	500
sub-control021	07_K2_combined_small.mp4	904	917
sub-control021	08_S12_combined_small.mp4	228	248
sub-control021	09_S11_combined_small.mp4	136	147
sub-control021	10_S27_combined_small.mp4	665	680
sub-control021	11_K21_long_combined_small.mp4	842	863
sub-control021	12_H37_combined_small.mp4	581	595
sub-control021	13_Trick6_short_combined_small.mp4	291	309
sub-control021	14_K19_long_combined_small.mp4	326	341
sub-control021	15_S18_combined_small.mp4	106	121
sub-control021	16_H19_combined_small.mp4	612	623
sub-control021	17_Trick37_combined_small.mp4	543	565
sub-control021	18_Trick4_combined_small.mp4	1038	1061
sub-control021	19_H17_combined_small.mp4	4	27
sub-control021	20_Trick20_short_combined_small.mp4	515	527
sub-control021	21_S15_combined_small.mp4	450	465
sub-control021	22_K18_combined_small.mp4	726	736
sub-control021	23_K10_combined_small.mp4	77	88
sub-control021	24_Trick28_combined_small.mp4	359	379
sub-control021	25_S25_combined_small.mp4	967	993
sub-control021	26_S30_combined_small.mp4	201	213
sub-control021	27_S31_combined_small.mp4	787	797
sub-control021	28_K24_combined_small.mp4	264	275
sub-control021	29_H36_combined_small.mp4	932	949
sub-control021	30_H15_combined_small.mp4	755	770
sub-control021	31_K3_combined_small.mp4	423	435
sub-control021	32_K16_short_combined_small.mp4	1079	1094
sub-control021	33_S21_combined_small.mp4	638	648
sub-control021	34_Trick38_combined_small.mp4	394	407
sub-control021	35_Trick32_long_combined_small.mp4	163	186
sub-control021	36_Trick7_short_combined_small.mp4	878	888
sub-control023	01_H35_combined_small.mp4	382	400
sub-control023	02_H10_combined_small.mp4	905	920
sub-control023	03_H16_combined_small.mp4	741	757
sub-control023	04_S9_combined_small.mp4	199	214
sub-control023	05_K4_combined_small.mp4	139	154
sub-control023	06_H7_combined_small.mp4	548	564
sub-control023	07_K2_combined_small.mp4	520	533
sub-control023	08_S12_combined_small.mp4	668	688
sub-control023	09_S11_combined_small.mp4	324	335
sub-control023	10_S27_combined_small.mp4	936	951
sub-control023	11_K21_long_combined_small.mp4	103	124
sub-control023	12_H37_combined_small.mp4	838	852
sub-control023	13_Trick6_short_combined_small.mp4	1107	1125
sub-control023	14_K19_long_combined_small.mp4	42	57
sub-control023	15_S18_combined_small.mp4	1020	1035
sub-control023	16_H19_combined_small.mp4	269	280
sub-control023	17_Trick37_combined_small.mp4	703	725
sub-control023	18_Trick4_combined_small.mp4	867	890
sub-control023	19_H17_combined_small.mp4	230	253
sub-control023	20_Trick20_short_combined_small.mp4	354	366
sub-control023	21_S15_combined_small.mp4	807	822
sub-control023	22_K18_combined_small.mp4	74	84
sub-control023	23_K10_combined_small.mp4	1050	1061
sub-control023	24_Trick28_combined_small.mp4	606	626
sub-control023	25_S25_combined_small.mp4	479	505
sub-control023	26_S30_combined_small.mp4	449	461
sub-control023	27_S31_combined_small.mp4	995	1005
sub-control023	28_K24_combined_small.mp4	295	306
sub-control023	29_H36_combined_small.mp4	416	433
sub-control023	30_H15_combined_small.mp4	775	790
sub-control023	31_K3_combined_small.mp4	966	978
sub-control023	32_K16_short_combined_small.mp4	169	184
sub-control023	33_S21_combined_small.mp4	641	651
sub-control023	34_Trick38_combined_small.mp4	1079	1092
sub-control023	35_Trick32_long_combined_small.mp4	4	27
sub-control023	36_Trick7_short_combined_small.mp4	579	589
sub-control025	01_H35_combined_small.mp4	103	121
sub-control025	02_H10_combined_small.mp4	4	19
sub-control025	03_H16_combined_small.mp4	69	85
